kinectAngles
version = 1
nRows=66
nColumns=22
inDegrees = yes
endheader

Time	pelvis_tx	pelvis_ty	pelvis_tz	hip_adduction_l	hip_rotation_l	hip_flexion_l	hip_adduction_r	hip_rotation_r	hip_flexion_r	knee_angle_l	ankle_angle_l	elbow_flexion_l	knee_angle_r	ankle_angle_r	elbow_flexion_r	arm_flexion_l	arm_adduction_l	arm_flexion_r	arm_adduction_r	pelvis_list	pelvis_tilt	pelvis_rotation

0	0	0	0	83.6771	34.6141	33.8671	87.9951	82.1189	81.8647	178.399	132.3724	160.6962	177.3243	132.401	71.6479	9.0339	19.3004	2.0736	18.6858	5.1258	2.3558	84.3561
0.03	0	0	0	83.7099	34.7378	33.9998	88.06	82.3044	82.0608	178.3223	132.8333	160.6445	177.2235	132.1685	74.3795	9.1543	19.3144	2.4238	18.5473	5.1568	2.3638	84.3245
0.07	0	0	0	83.7053	34.8186	34.0803	87.987	82.5045	82.2358	178.2499	133.0513	161.2914	177.265	132.117	77.108	9.2314	19.3132	2.5457	18.6244	5.1572	2.37	84.3215
0.1	0	0	0	83.7261	34.8663	34.1334	88.0016	82.5402	82.2742	178.277	132.7318	162.1518	177.0825	131.6381	78.9585	9.255	19.3263	2.6728	18.5751	5.1362	2.3864	84.3338
0.13	0	0	0	83.721	34.8723	34.1382	88.0034	82.5756	82.3089	178.2776	133.1624	162.5049	177.0905	131.6416	76.6303	9.2859	19.3031	3.9352	19.6169	5.1439	2.375	84.3316
0.17	0	0	0	83.7458	34.8365	34.1078	88.0464	82.5458	82.2913	177.905	132.9711	162.7366	177.0694	131.6035	76.9137	9.2511	19.3071	3.9547	19.6942	5.1441	2.3704	84.3334
0.2	0	0	0	83.7551	34.7776	34.0506	88.0619	82.5446	82.294	177.8414	132.7584	163.7637	177.0658	131.6751	79.3613	9.2753	19.2863	2.8331	18.8029	5.1151	2.3796	84.3558
0.23	0	0	0	83.7873	34.7197	33.9996	88.1475	82.4594	82.2326	177.9099	132.7818	163.309	177.0359	131.8888	80.4399	9.2629	19.2646	2.5538	18.4795	5.117	2.373	84.3569
0.27	0	0	0	83.8034	34.6785	33.9617	88.1517	82.4357	82.2106	177.3396	132.752	163.6636	177.0775	132.0966	81.9421	9.2685	19.2395	1.9599	17.9183	5.113	2.3691	84.3621
0.3	0	0	0	83.8318	34.6428	33.9322	88.165	82.4004	82.1794	177.185	132.9211	164.4471	177.2087	132.1175	83.0349	9.2616	19.2426	1.352	17.6855	5.0924	2.3621	84.3837
0.33	0	0	0	83.8569	34.6092	33.904	88.2142	82.4345	82.2242	176.8644	132.9693	164.3078	177.1474	132.1224	84.3656	9.2939	19.2292	0.8028	17.1523	5.1216	2.3465	84.3639
0.37	0	0	0	83.8632	34.5878	33.8839	88.2356	82.4505	82.2447	176.8317	133.0127	163.6843	177.141	132.2436	84.7746	9.3344	19.2479	0.8019	17.0838	5.1244	2.3519	84.3591
0.4	0	0	0	83.8924	34.6413	33.9446	88.2623	82.5337	82.3319	176.9054	133.6086	163.7151	177.0808	132.0217	85.7691	9.3852	19.2496	0.5574	16.9931	5.1365	2.3477	84.3497
0.43	0	0	0	83.8998	34.6848	33.9902	88.2748	82.6194	82.4183	176.8686	133.5321	163.7918	177.0848	131.986	86.1721	9.4503	19.2539	0.6055	17.0342	5.1546	2.3517	84.3316
0.47	0	0	0	83.9408	34.7387	34.0539	88.3116	82.6857	82.4912	176.7394	133.3843	163.8501	177.0558	131.9189	88.6735	9.5357	19.2188	0.8395	16.9982	5.1904	2.3174	84.3132
0.5	0	0	0	83.9603	34.748	34.0677	88.3453	82.7151	82.5275	176.7711	133.4245	163.5561	176.9823	131.9099	93.9928	9.5433	19.221	0.7915	17.3004	5.1693	2.3166	84.3327
0.53	0	0	0	83.9301	34.7695	34.0826	88.3258	82.7321	82.5397	176.8672	132.9564	163.506	176.9661	132.0746	99.452	9.5933	19.2228	2.2486	19.4828	5.1798	2.3162	84.3233
0.57	0	0	0	83.9287	34.6941	34.0061	88.3263	82.6392	82.4493	176.8111	131.6707	163.911	177.0778	132.1615	106.175	9.566	19.2668	1.2493	18.3546	5.1497	2.2975	84.3585
0.6	0	0	0	83.9007	34.7715	34.0779	88.2983	82.6336	82.4375	176.8095	131.5556	163.4374	177.2286	131.8296	NaN	9.5838	19.3101	1.4762	18.0793	5.1398	2.2726	84.3778
